"","X","ncbi_name","phylotree_tip_label","img_id","ncbi_acc","kegg_abb","trnadb_name","families","ecosystem","habitat"
"128",128,"Mesotoga prima MesG1.Ag.4.2","t2510065086",2510065086,"GCA_000147715.3","mpg","Mesotoga prima MesG1.Ag.4.2","Thermotogae","",""
"129",129,"Thermodesulfobium narugense DSM 14796","t2504756006",2504756006,"GCA_000212395.1","tnr","Thermodesulfobium narugense DSM 14796","Firmicutes","Environmental","Aquatic, Hot spring"
"130",130,"Dictyoglomus thermophilum H-6-12","t643348542",643348542,"GCA_000020965.1","dth","Dictyoglomus thermophilum H-6-12 ATCC 35947","Dictyoglomia","Environmental","Aquatic, Fresh water, Hot spring"
"131",131,"Dictyoglomus turgidum DSM 6724","t643348543",643348543,"GCA_000021645.1","dtu","Dictyoglomus turgidum DSM 6724","Dictyoglomia","Environmental","Aquatic, Fresh water, Hot spring"
"132",132,"Anaerobaculum mobile DSM 13181","t2509601011",2509601011,"GCA_000266925.1","amo","Anaerobaculum mobile DSM 13181","Synergistia","Engineered","Aquatic, Wastewater"
"134",134,"Thermovirga lienii DSM 17291","t2505119043",2505119043,"GCA_000233775.1","tli","Thermovirga lienii DSM 17291","Synergistia","Environmental","Aquatic, Oil fields"
"137",137,"Thermanaerovibrio acidaminovorans DSM 6589","t646311961",646311961,"GCA_000024905.1","tai","Thermanaerovibrio acidaminovorans DSM 6589","Synergistia","Engineered","Bioreactor"
"139",139,"Aminobacterium colombiense DSM 12261","t646564503",646564503,"GCA_000025885.1","aco","Aminobacterium colombiense DSM 12261","Synergistia","Engineered","Aquatic, Wastewater treatment plant"
"154",154,"Acidaminococcus fermentans DSM 20731","t646311901",646311901,"GCA_000025305.1","afn","Acidaminococcus fermentans DSM 20731","Firmicutes","Host-associated","Host, Pig"
"155",155,"Acidaminococcus intestini RyC-MR95","t2511231106",2511231106,"GCA_000230275.1","ain","Acidaminococcus intestini RyC-MR95","Firmicutes","Host-associated","Host, Human intestinal microflora"
"163",163,"Veillonella parvula DSM 2008","t646311965",646311965,"GCA_000024945.1","vpr","Veillonella parvula DSM 2008","Firmicutes","Host-associated","Host"
"174",174,"Thermincola potens JR","t646564578",646564578,"GCA_000092945.1","tjr","Thermincola potens JR","Firmicutes","Engineered","Mud, Sludge, Wastewater"
"175",175,"Candidatus Desulforudis audaxviator MP104C","t641522610",641522610,"GCA_000018425.1","dau","Candidatus Desulforudis audaxviator MP104C","Firmicutes","Environmental","Aquatic, Deep subsurface"
"176",176,"Ammonifex degensii KC4","t646311904",646311904,"GCA_000024605.1","adg","Ammonifex degensii KC4","Firmicutes","Environmental","Aquatic, Fresh water, Hot spring"
"178",178,"Desulfotomaculum reducens MI-1","t640069310",640069310,"GCA_000016165.1","drm","Desulfotomaculum reducens MI-1","Firmicutes","Environmental","Fresh water, Sediment"
"179",179,"Desulfotomaculum ruminis DSM 2154","t650716033",650716033,"GCA_000215085.1","dru","Desulfotomaculum ruminis DSM 2154","Firmicutes","Host-associated","Animal gastrointestinal tract, Fresh water, Mud, Sea water, Soil"
"180",180,"Pelotomaculum thermopropionicum SI","t640427128",640427128,"GCA_000010565.1","pth","Pelotomaculum thermopropionicum SI","Firmicutes","Engineered","Sludge, Wastewater"
"181",181,"Desulfotomaculum gibsoniae DSM 7213","t2508501002",2508501002,"GCA_000233715.3","dgi","Desulfotomaculum gibsoniae DSM 7213","Firmicutes","Environmental","Animal gastrointestinal tract, Aquatic, Fresh water, Mud, Sea water, Soil"
"182",182,"Desulfotomaculum acetoxidans DSM 771","t644736351",644736351,"GCA_000024205.1","dae","Desulfotomaculum acetoxidans DSM 771","Firmicutes","Engineered","Animal manure"
"184",184,"Carboxydothermus hydrogenoformans Z-2901","t637000060",637000060,"GCA_000012865.1","chy","Carboxydothermus hydrogenoformans Z-2901","Firmicutes","Environmental","Aquatic, Fresh water, Hot spring"
"185",185,"Syntrophothermus lipocalidus DSM 12680","t646564577",646564577,"GCA_000092405.1","slp","Syntrophothermus lipocalidus DSM 12680","Firmicutes","Engineered","Bioreactor, Sludge"
"186",186,"Syntrophomonas wolfei subsp. wolfei str. Goettingen G311","t637000316",637000316,"GCA_000014725.1","swo","Syntrophomonas wolfei subsp. wolfei str. Goettingen G311","Firmicutes","Engineered","Sludge, Wastewater"
"187",187,"Moorella thermoacetica ATCC 39073","t637000167",637000167,"GCA_000013105.1","mta","Moorella thermoacetica ATCC 39073","Firmicutes","Environmental","Fresh water, Ponds"
"188",188,"Dehalobacter restrictus DSM 9455","t2510065016",2510065016,"GCA_000512895.1","drs","Dehalobacter restrictus DSM 9455 PER-K23","Firmicutes","Environmental",""
"189",189,"Syntrophobotulus glycolicus DSM 8271","t649633098",649633098,"GCA_000190635.1","sgy","Syntrophobotulus glycolicus DSM 8271","Firmicutes","Engineered","Sludge, Wastewater"
"190",190,"Desulfosporosinus acidiphilus SJ4","t2506783061",2506783061,"GCA_000255115.3","dai","Desulfosporosinus acidiphilus SJ4","Firmicutes","Environmental","Acid mine, Aquatic, Fresh water, Mud, Ponds, Sea water, Soil"
"192",192,"Desulfosporosinus orientis DSM 765","t2508501136",2508501136,"GCA_000235605.1","dor","Desulfosporosinus orientis DSM 765","Firmicutes","Environmental","Soil"
"193",193,"Desulfosporosinus meridiei DSM 13257","t2510065044",2510065044,"GCA_000231385.3","dmi","Desulfosporosinus meridiei DSM 13257","Firmicutes","Environmental","Groundwater, Soil"
"194",194,"Desulfitobacterium dichloroeliminans LMG P-21439","t2507149019",2507149019,"GCA_000243135.3","ddl","Desulfitobacterium dichloroeliminans LMG P-21439","Firmicutes","Environmental","Aquatic, Soil"
"196",196,"Desulfitobacterium dehalogenans ATCC 51507","t2507262031",2507262031,"GCA_000243155.3","ddh","Desulfitobacterium dehalogenans ATCC 51507","Firmicutes","Environmental","Aquatic, Fresh water, Ponds, Sediment"
"198",198,"Desulfitobacterium hafniense Y51","t637000093",637000093,"GCA_000010045.1","dsy","Desulfitobacterium hafniense Y51","Firmicutes","Environmental","Soil"
"199",199,"Desulfitobacterium metallireducens DSM 15288","t2507149024",2507149024,"GCA_000231405.3","dmt","Desulfitobacterium metallireducens DSM 15288 853-15A","Firmicutes","Environmental","Aquatic, Sediment"
"200",200,"Heliobacterium modesticaldum Ice1","t641522632",641522632,"GCA_000019165.1","hmo","Heliobacterium modesticaldum Ice1 ATCC 51547","Firmicutes","Environmental","Aquatic, Fresh water, Hot spring, Soil"
"201",201,"Mahella australiensis 50-1 BON","t2503508009",2503508009,"GCA_000213255.1","mas","Mahella australiensis 50-1 BON","Firmicutes","Environmental","Oil fields"
"204",204,"Caldanaerobacter subterraneus subsp. tengcongensis MB4","t637000318",637000318,"GCA_000007085.1","tte","Caldanaerobacter subterraneus subsp. tengcongensis MB4","Firmicutes","Environmental","Aquatic, Fresh water, Hot spring"
"205",205,"Thermoanaerobacter wiegelii Rt8.B1","t2504756058",2504756058,"GCA_000147695.3","twi","Thermoanaerobacter wiegelii Rt8.B1","Firmicutes","Environmental","Aquatic, Fresh water, Hot spring"
"210",210,"Thermoanaerobacter sp. X513","t648028059",648028059,"GCA_000148425.1","thx","Thermoanaerobacter sp. X513","Firmicutes","Environmental","Fresh water"
"213",213,"Thermoanaerobacter italicus Ab9","t646564579",646564579,"GCA_000025645.1","tit","Thermoanaerobacter italicus Ab9","Firmicutes","Environmental","Fresh water, Mud"
"215",215,"Thermoanaerobacterium xylanolyticum LX-11","t650716095",650716095,"GCA_000189775.3","txy","Thermoanaerobacterium xylanolyticum LX-11","Firmicutes","Environmental","Fresh water, Sediment"
"216",216,"Thermoanaerobacterium thermosaccharolyticum M0795","t2506783062",2506783062,"GCA_000328545.1","tto","Thermoanaerobacterium thermosaccharolyticum M0795","Firmicutes","",""
"217",217,"Thermoanaerobacterium thermosaccharolyticum DSM 571","t648028060",648028060,"GCA_000145615.1","ttm","Thermoanaerobacterium thermosaccharolyticum DSM 571","Firmicutes","Environmental",""
"218",218,"Candidatus Arthromitus sp. SFB-mouse-Yit","t2511231204",2511231204,"GCA_000284435.1","asm","Candidatus Arthromitus sp. SFB-mouse-Yit","Firmicutes","Host-associated","Host"
"220",220,"Candidatus Arthromitus sp. SFB-rat-Yit","t2511231057",2511231057,"GCA_000283555.1","asb","Candidatus Arthromitus sp. SFB-rat-Yit","Firmicutes","Host-associated","Host"
"221",221,"Clostridium perfringens SM101","t642555126",642555126,"GCA_000013845.1","cpr",NA,"Firmicutes","Engineered","Beef food product, Food, Host, Meat food product"
"224",224,"Clostridium perfringens str. 13","t637000079",637000079,"GCA_000009685.1","cpe","Clostridium perfringens str. 13","Firmicutes","Environmental","Host, Soil"
"231",231,"Clostridium beijerinckii NCIMB 8052","t640753016",640753016,"GCA_000016965.1","cbe","Clostridium beijerinckii NCIMB 8052","Firmicutes","Engineered","Fresh water, Host, Soil"
"234",234,"Clostridium botulinum E3 str. Alaska E43","t642555125",642555125,"GCA_000020285.1","cbt","Clostridium botulinum E3 str. Alaska E43","Firmicutes","Host-associated","Food, Host"
"237",237,"Clostridium kluyveri DSM 555","t640753020",640753020,"GCA_000016505.1","ckl","Clostridium kluyveri DSM 555","Firmicutes","Environmental","Fresh water, Mud"
"238",238,"Clostridium ljungdahlii DSM 13528","t648028017",648028017,"GCA_000143685.1","clj","Clostridium ljungdahlii DSM 13528","Firmicutes","Host-associated","Host, Soil"
"241",241,"Clostridium tetani E88","t637000080",637000080,"GCA_000007625.1","ctc","Clostridium tetani E88 Massachusetts substr. E88","Firmicutes","Host-associated","Host"
"252",252,"Clostridium botulinum A3 str. Loch Maree","t641522617",641522617,"GCA_000019545.1","cbl","Clostridium botulinum A3 str. Loch Maree","Firmicutes","Host-associated","Fresh water, Host, Soil"
"255",255,"Clostridium botulinum BKT015925","t650716025",650716025,"GCA_000204565.1","cbn","Clostridium botulinum BKT015925","Firmicutes","Engineered","Fresh water, Host, Soil"
"257",257,"Clostridium novyi NT","t639633021",639633021,"GCA_000014125.1","cno","Clostridium novyi NT","Firmicutes","","Host, Soil, Terrestrial"
"259",259,"Clostridium cellulovorans 743B","t648028016",648028016,"GCA_000145275.1","ccb","Clostridium cellulovorans 743B","Firmicutes","Engineered","Soil"
"263",263,"Clostridium acetobutylicum EA 2018","t651053017",651053017,"GCA_000191905.1","cay","Clostridium acetobutylicum EA 2018","Firmicutes","","Soil"
"272",272,"Anaerococcus prevotii DSM 20548","t644736326",644736326,"GCA_000024105.1","apr","Anaerococcus prevotii DSM 20548","Firmicutes","Host-associated","Host, Human"
"277",277,"Finegoldia magna ATCC 29328","t641522627",641522627,"GCA_000010185.1","fma","Finegoldia magna ATCC 29328","Firmicutes","Host-associated","Host, Human skin"
"284",284,"Filifactor alocis ATCC 35896","t2511231077",2511231077,"GCA_000163895.2","faa","Filifactor alocis ATCC 35896","Firmicutes","Host-associated","Host, Human oral cavity"
"286",286,"[Clostridium] sticklandii","t649633033",649633033,"GCA_000196455.1","cst","Clostridium sticklandii DSM 519","Firmicutes","Environmental","Aquatic, Fresh water, Host, Mud, Soil"
"299",299,"Peptoclostridium difficile 630","t640069308",640069308,"GCA_000009205.1","cdf","Peptoclostridium difficile 630","Firmicutes","Host-associated","Host"
"306",306,"Alkaliphilus metalliredigens QYMF","t640753002",640753002,"GCA_000016985.1","amt","Alkaliphilus metalliredigens QYMF","Firmicutes","Engineered","Ponds"
"307",307,"Alkaliphilus oremlandii OhILAs","t641228475",641228475,"GCA_000018325.1","aoe","Alkaliphilus oremlandii OhILAs","Firmicutes","Environmental","Aquatic, Fresh water, Sediment"
"308",308,"Sebaldella termitidis ATCC 33386","t646311952",646311952,"GCA_000024405.1","str","Sebaldella termitidis ATCC 33386","Fusobacteriia","Host-associated","Gut, Host, Insect, Termite, Termite gut"
"311",311,"Leptotrichia buccalis C-1013-b","t644736384",644736384,"GCA_000023905.1","lba","Leptotrichia buccalis C-1013-b DSM 1135","Fusobacteriia","Host-associated","Host, Human, Human oral cavity"
"313",313,"Streptobacillus moniliformis DSM 12112","t646311956",646311956,"GCA_000024565.1","smf","Streptobacillus moniliformis DSM 12112","Fusobacteriia","Host-associated","Host, Human"
"314",314,"Ilyobacter polytropus DSM 2926","t649633056",649633056,"GCA_000165505.1","ipo","Ilyobacter polytropus DSM 2926","Fusobacteriia","Environmental","Aquatic, Marine, Mud"
"322",322,"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","t637000117",637000117,"GCA_000007325.1","fnu","Fusobacterium nucleatum subsp. nucleatum ATCC 25586","Fusobacteriia","Host-associated","Host, Oral cavity"
"323",323,"Fusobacterium nucleatum subsp. animalis 7_1","t646206252",646206252,"GCA_000158275.2","fne","Fusobacterium nucleatum subsp. animalis 7 1","Fusobacteriia","Host-associated","Host"
"332",332,"Listeria seeligeri serovar 1/2b str. SLCC3954","t646564544",646564544,"GCA_000027145.1","lsg","Listeria seeligeri serovar 1/2b str. SLCC3954","Firmicutes","Environmental","Soil"
"333",333,"Listeria welshimeri serovar 6b str. SLCC5334","t639633035",639633035,"GCA_000060285.1","lwe","Listeria welshimeri serovar 6b str. SLCC5334","Firmicutes","Host-associated","Food, Fresh water, Host, Soil"
"334",334,"Listeria innocua Clip11262","t637000152",637000152,"GCA_000195795.1","lin",NA,"Firmicutes","Engineered","Soil"
"342",342,"Listeria ivanovii subsp. ivanovii PAM 55","t2511231098",2511231098,"GCA_000252975.1","liv","Listeria ivanovii subsp. ivanovii PAM 55","Firmicutes","Host-associated","Host"
"345",345,"Listeria monocytogenes J0161","t2511231190",2511231190,"GCA_000168635.2","lmj","Listeria monocytogenes J0161","Firmicutes","Engineered","Food, Fresh water, Host, Intestinal tract, Soil"
"348",348,"Listeria monocytogenes M7","t651053042",651053042,"GCA_000218305.1","lmq","Listeria monocytogenes M7","Firmicutes","Host-associated","Food, Fresh water, Host, Intestinal tract, Soil"
"370",370,"Lactobacillus johnsonii DPC 6026","t651053040",651053040,"GCA_000204985.1","ljh","Lactobacillus johnsonii DPC 6026","Firmicutes","Host-associated","Gut, Host, Human intestinal microflora, Human vaginal microflora"
"372",372,"Lactobacillus gasseri ATCC 33323 = JCM 1131","t639633030",639633030,"GCA_000014425.1","lga","Lactobacillus gasseri ATCC 33323 JCM 1131","Firmicutes","Host-associated","Feces, Gastrointestinal tract, Host, Intestinal tract"
"376",376,"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365","t639633029",639633029,"GCA_000014405.1","lbu","Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365","Firmicutes","Engineered","Host, Intestinal tract"
"378",378,"Lactobacillus delbrueckii subsp. bulgaricus ND02","t649633062",649633062,"GCA_000182835.1","lde","Lactobacillus delbrueckii subsp. bulgaricus ND02","Firmicutes","Engineered","Host, Intestinal tract"
"388",388,"Lactobacillus kefiranofaciens ZW3","t650716047",650716047,"GCA_000214785.1","lke","Lactobacillus kefiranofaciens ZW3","Firmicutes","Engineered","Host"
"389",389,"Lactobacillus helveticus DPC 4571","t641228495",641228495,"GCA_000015385.1","lhe","Lactobacillus helveticus DPC 4571","Firmicutes","","Intestinal tract"
"394",394,"Lactobacillus acidophilus NCFM","t637000138",637000138,"GCA_000011985.1","lac","Lactobacillus acidophilus NCFM","Firmicutes","Host-associated","Host, Intestinal tract, Oral cavity, Vagina"
"395",395,"Lactobacillus amylovorus GRL1118","t651053037",651053037,"GCA_000194115.1","lay","Lactobacillus amylovorus GRL1118","Firmicutes","Host-associated","Host"
"403",403,"Lactobacillus sakei subsp. sakei 23K","t637000142",637000142,"GCA_000026065.1","lsa","Lactobacillus sakei subsp. sakei 23K","Firmicutes","Engineered","Fresh meat, Intestinal tract, Oral cavity, Vagina"
"407",407,"Lactobacillus rhamnosus Lc 705","t644736383",644736383,"GCA_000026525.1","lrl","Lactobacillus rhamnosus Lc 705","Firmicutes","Host-associated","Birds intestinal microflora, Host, Human intestinal microflora, Mammalian gastrointestinal tract"
"409",409,"Lactobacillus rhamnosus ATCC 8530","t2511231185",2511231185,"GCA_000233755.1","lra","Lactobacillus rhamnosus ATCC 8530","Firmicutes","Host-associated","Host, Human airways"
"411",411,"Lactobacillus paracasei ATCC 334","t639633028",639633028,"GCA_000014525.1","lca","Lactobacillus casei ATCC 334","Firmicutes","Engineered","Host, Intestinal tract"
"420",420,"Lactobacillus salivarius CECT 5713","t648231712",648231712,"GCA_000143435.1","lsi","Lactobacillus salivarius CECT 5713","Firmicutes","Host-associated","Feces, Gastrointestinal tract, Host, Human intestinal microflora, Human oral cavity"
"422",422,"Pediococcus pentosaceus ATCC 25745","t639633049",639633049,"GCA_000014505.1","ppe","Pediococcus pentosaceus ATCC 25745","Firmicutes","Host-associated","Fruits, Plants"
"425",425,"Pediococcus claussenii ATCC BAA-344","t2511231169",2511231169,"GCA_000237995.2","pce","Pediococcus claussenii ATCC BAA-344","Firmicutes","Engineered",""
"426",426,"Lactobacillus plantarum JDM1","t644736381",644736381,"GCA_000023085.1","lpj","Lactobacillus plantarum JDM1","Firmicutes","Host-associated","Host"
"429",429,"Lactobacillus brevis ATCC 367","t639633027",639633027,"GCA_000014465.1","lbr","Lactobacillus brevis ATCC 367","Firmicutes","Engineered","Host, Intestinal tract, Soil"
"430",430,"Lactobacillus sanfranciscensis TMW 1.1304","t2511231118",2511231118,"GCA_000225325.1","lsn","Lactobacillus sanfranciscensis TMW 1.1304","Firmicutes","","Host"
"434",434,"Weissella koreensis KACC 15510","t650716105",650716105,"GCA_000219805.1","wko","Weissella koreensis KACC 15510","Firmicutes","Engineered",""
"438",438,"Oenococcus oeni PSU-1","t639633047",639633047,"GCA_000014385.1","ooe","Oenococcus oeni PSU-1","Firmicutes","Engineered",""
"443",443,"Leuconostoc mesenteroides subsp. mesenteroides J18","t2511231143",2511231143,"GCA_000234825.3","lmm","Leuconostoc mesenteroides subsp. mesenteroides J18","Firmicutes","Engineered","Host"
"449",449,"Leuconostoc kimchii IMSNU 11154","t646564543",646564543,"GCA_000092505.1","lki","Leuconostoc kimchii IMSNU 11154","Firmicutes","Engineered",""
"451",451,"Leuconostoc citreum KM20","t641522636",641522636,"GCA_000026405.1","lci","Leuconostoc citreum KM20","Firmicutes","Engineered",""
"452",452,"Lactobacillus reuteri SD2112","t650716048",650716048,"GCA_000159455.2","lru","Lactobacillus reuteri SD2112","Firmicutes","Host-associated","Birds intestinal microflora, Host, Human intestinal microflora, Mammalian gastrointestinal tract"
"457",457,"Lactobacillus fermentum CECT 5716","t648231711",648231711,"GCA_000210515.1","lfr","Lactobacillus fermentum CECT 5716","Firmicutes","Host-associated","Feces, Gastrointestinal tract, Host, Human intestinal microflora, Human oral cavity"
"463",463,"Lactococcus lactis subsp. lactis KF147","t646311940",646311940,"GCA_000025045.1","llk","Lactococcus lactis subsp. lactis KF147","Firmicutes","Host-associated","Host, Plants"
"464",464,"Lactococcus lactis subsp. cremoris MG1363","t640069315",640069315,"GCA_000009425.1","llm","Lactococcus lactis subsp. cremoris MG1363","Firmicutes","",""
"466",466,"Lactococcus lactis subsp. cremoris SK11","t639633031",639633031,"GCA_000014545.1","llc","Lactococcus lactis subsp. cremoris SK11","Firmicutes","",""
"468",468,"Lactococcus garvieae ATCC 49156","t2511231101",2511231101,"GCA_000269925.1","lgr","Lactococcus garvieae ATCC 49156","Firmicutes","Host-associated","Host"
"475",475,"Streptococcus thermophilus ND03","t650377980",650377980,"GCA_000182875.1","stn","Streptococcus thermophilus ND03","Firmicutes","Engineered",""
"480",480,"Streptococcus salivarius JIM8777","t651053074",651053074,"GCA_000253315.1","stj","Streptococcus salivarius JIM8777","Firmicutes","Host-associated","Host, Oral cavity"
"487",487,"Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069","t650716087",650716087,"GCA_000203195.1","sgg","Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069","Firmicutes","Host-associated","Host"
"489",489,"Streptococcus parauberis KCTC 11537","t650716090",650716090,"GCA_000213825.1","stk","Streptococcus parauberis KCTC 11537","Firmicutes","",""
"491",491,"Streptococcus uberis 0140J","t643348578",643348578,"GCA_000009545.1","sub","Streptococcus uberis 0140J","Firmicutes","Host-associated","Host"
"493",493,"Streptococcus dysgalactiae subsp. equisimilis GGS_124","t644736406",644736406,"GCA_000010705.1","sds","Streptococcus dysgalactiae subsp. equisimilis GGS 124","Firmicutes","Host-associated","Host"
"499",499,"Streptococcus pyogenes MGAS315","t637000296",637000296,"GCA_000007425.1","spg","Streptococcus pyogenes MGAS315","Firmicutes","Host-associated","Host"
"501",501,"Streptococcus pyogenes MGAS15252","t2512564065",2512564065,"GCA_000250905.1","stg","Streptococcus pyogenes MGAS15252","Firmicutes","Host-associated","Host, Human airways"
"504",504,"Streptococcus equi subsp. zooepidemicus ATCC 35246","t2511231157",2511231157,"GCA_000219765.1","sezo","Streptococcus equi subsp. zooepidemicus ATCC 35246","Firmicutes","Host-associated","Host"
"505",505,"Streptococcus equi subsp. zooepidemicus","t643692039",643692039,"GCA_000026605.1","seq","Streptococcus equi subsp. zooepidemicus H70","Firmicutes","Host-associated","Host"
"524",524,"Streptococcus agalactiae NEM316","t637000287",637000287,"GCA_000196055.1","san",NA,"Firmicutes","Host-associated","Host"
"526",526,"Streptococcus mutans UA159","t637000288",637000288,"GCA_000007465.2","smu","Streptococcus mutans UA159","Firmicutes","Host-associated","Host"
"531",531,"Streptococcus parasanguinis ATCC 15912","t650716089",650716089,"GCA_000164675.2","scp","Streptococcus parasanguinis ATCC 15912","Firmicutes","Host-associated","Host"
"540",540,"Streptococcus oralis Uo5","t650716088",650716088,"GCA_000253155.1","sor","Streptococcus oralis Uo5","Firmicutes","Host-associated","Host"
"547",547,"Streptococcus mitis B6","t646564574",646564574,"GCA_000027165.1","smb","Streptococcus mitis B6","Firmicutes","Engineered","Host, Oral cavity"
"553",553,"Streptococcus pseudopneumoniae IS7493","t2511231123",2511231123,"GCA_000221985.1","std","Streptococcus pseudopneumoniae IS7493","Firmicutes","Host-associated","Host"
"554",554,"Streptococcus pneumoniae ST556","t2512564060",2512564060,"GCA_000251085.2","snd","Streptococcus pneumoniae ST556","Firmicutes","Host-associated","Host"
"575",575,"Streptococcus pneumoniae D39","t639633061",639633061,"GCA_000014365.1","spd","Streptococcus pneumoniae D39","Firmicutes","Host-associated","Host, Nasopharyngeal microflora"
"595",595,"Streptococcus pneumoniae TCH8431/19A","t648028057",648028057,"GCA_000196595.1","snc","Streptococcus pneumoniae TCH8431/19A","Firmicutes","Host-associated","Host"
"602",602,"Streptococcus gordonii str. Challis substr. CH1","t640753055",640753055,"GCA_000017005.1","sgo","Streptococcus gordonii str. Challis substr. CH1","Firmicutes","Host-associated","Host, Human oral cavity"
"604",604,"Streptococcus sanguinis SK36","t640069334",640069334,"GCA_000014205.1","ssa","Streptococcus sanguinis SK36","Firmicutes","Host-associated","Host, Oral cavity"
"606",606,"Streptococcus suis 98HAH33","t640427147",640427147,"GCA_000014325.1","ssv","Streptococcus suis 98HAH33","Firmicutes","Host-associated","Host"
"616",616,"Streptococcus suis D9","t2511231189",2511231189,"GCA_000231885.1","ssq","Streptococcus suis D9","Firmicutes","",""
"618",618,"Streptococcus suis ST1","t2511231211",2511231211,"GCA_000231925.1","srp","Streptococcus suis ST1","Firmicutes","",""
"620",620,"Tetragenococcus halophilus NBRC 12172","t2511231116",2511231116,"GCA_000283615.1","thl","Tetragenococcus halophilus NBRC 12172","Firmicutes","Engineered",""
"675",675,"Enterococcus faecalis V583","t637000101",637000101,"GCA_000007785.1","efa","Enterococcus faecalis V583","Firmicutes","Host-associated","Host, Intestinal tract, Wastewater"
"690",690,"Enterococcus faecalis OG1RF","t2511231133",2511231133,"GCA_000172575.2","efi","Enterococcus faecalis OG1RF","Firmicutes","Engineered","Host, Intestinal tract, Wastewater"
"692",692,"Carnobacterium sp. 17-4","t650716020",650716020,"GCA_000195575.1","crn","Carnobacterium sp. 17-4","Firmicutes","Environmental","Aquatic, Marine, Sea water"
"698",698,"Aerococcus urinae ACS-120-V-Col10a","t650716005",650716005,"GCA_000193205.1","aur","Aerococcus urinae ACS-120-V-Col10a","Firmicutes","Host-associated","Host, Human vaginal microflora"
"702",702,"Lysinibacillus sphaericus C3-41","t641522637",641522637,"GCA_000017965.1","lgy","Lysinibacillus sphaericus C3-41","Firmicutes","Environmental","Host, Mosquito, Soil"
"704",704,"Oceanobacillus iheyensis HTE831","t637000201",637000201,"GCA_000011245.1","gka","Oceanobacillus iheyensis HTE831","Firmicutes","Environmental","Aquatic, Marine, Mud, Soil"
"705",705,"Exiguobacterium sp. AT1b","t643692023",643692023,"GCA_000023045.1","eat","Exiguobacterium sp. AT1b","Firmicutes","Environmental","Aquatic, Hot spring"
"706",706,"Bacillus cellulosilyticus DSM 2522","t649633010",649633010,"GCA_000177235.2","bck","Bacillus cellulosilyticus DSM 2522","Firmicutes","Environmental","Soil"
"707",707,"[Bacillus] selenitireducens MLS10","t646564509",646564509,"GCA_000093085.1","bse","Bacillus selenitireducens MLS10","Firmicutes","Environmental","Aquatic, Fresh water"
"708",708,"Bacillus clausii KSM-K16","t637000019",637000019,"GCA_000009825.1","bpu","Bacillus clausii KSM-K16","Firmicutes","Environmental","Soil"
"709",709,"Bacillus halodurans C-125","t637000020",637000020,"GCA_000011145.1","ban","Bacillus halodurans C-125","Firmicutes","","Fresh water, Soil"
